priority,regex,modifiers
ERROR,error\s*:,ignorecase
ERROR,ERROR\t,
ERROR,cannot create regular file,
ERROR,Missing file:,
ERROR,is not recognized as an internal or external command,
ERROR,MISSING:,
ERROR,fatal error,
ERROR,warning U4010,
ERROR,Internal fault,
ERROR,target .* given more than once in the same rule,
ERROR,[Nn]o such file or directory,
ERROR,Exception: [A-Z0-9_]+,
ERROR,ERROR EC\d+:,
ERROR,Errors caused tool to abort,
ERROR,Traceback \(most recent call last\),
ERROR,Application encountered an unexpected error,
ERROR,Unable to write dump file,
ERROR,Unable to connect to CM:,
ERROR,: Incorrect,
ERROR,The system cannot find the path specified,
ERROR,[Ww]arning:?\s+(#111-D|#1166-D|#117-D|#128-D|#1293-D|#1441-D|#170-D|#174-D|#175-D|#185-D|#186-D|#223-D|#231-D|#257-D|#284-D|#368-D|#414-D|#430-D|#47-D|#514-D|#546-D|#68-D|#69-D|#830-D|#940-D|#836-D|A1495E|L6318W|C2874W|C4127|C4355|C4530|C4702|C4786|LNK4049),
REMARK,No feature macros were found in the source,
REMARK,is shorter than expected,
REMARK,Command line warning D4025 :,
REMARK,REMARK:,
REMARK,EventType:\s+Error\s+Source:\s+GNU\s+Make,
REMARK,: note:,
WARNING,\(\d+\) : warning C,
WARNING,mwld.exe:,
WARNING,Command line warning,
WARNING,ERROR: bad relocation:,
WARNING,\d+ warning,
WARNING,EventType:\s+Error\s+Source:\s+SweepNT,
WARNING,WARN\t,
WARNING,LINK : warning,
WARNING,warning\s*:,ignorecase
